record_id,numeric__first_sem_progress_index,numeric__first_sem_approval_rate,numeric__Curricular units 1st sem (approved),numeric__Curricular units 1st sem (grade),numeric__first_sem_evaluation_intensity,numeric__Curricular units 1st sem (evaluations),categorical__Tuition fees up to date_0,categorical__Tuition fees up to date_1,categorical__financial_risk_flag_1,categorical__financial_risk_flag_0,numeric__Curricular units 1st sem (enrolled),numeric__Previous qualification (grade),categorical__Scholarship holder_0,categorical__Scholarship holder_1,categorical__Debtor_1,categorical__Debtor_0,numeric__academic_preparation_gap,categorical__Application mode_39,categorical__Application mode_1,categorical__Course_9500,numeric__Admission grade,categorical__Course_9119,categorical__Mother's occupation_0,categorical__Mother's qualification_34,categorical__Previous qualification_1,categorical__Father's qualification_34,numeric__Application order,numeric__GDP,numeric__Inflation rate,categorical__Father's occupation_0,Target
1,-1.5686274513099354,-1.6666666666666667,-1.6666666666666667,-5.1354731137974134,-1.9999999999999996,-2.0,0.0,1.0,0.0,1.0,-3.0,-0.7399999999999997,1.0,0.0,0.0,1.0,0.8974358974358984,0.0,0.0,0.0,0.0760233918128653,0.0,0.0,0.0,1.0,0.0,4.0,0.4068767908309455,0.0,0.0,Dropout
2,0.4901960785343547,0.33333333333333326,0.3333333333333333,0.7002917882451017,-0.3333333333333332,-0.5,1.0,0.0,1.0,0.0,0.0,1.7933333333333337,1.0,0.0,0.0,1.0,-1.051282051282052,0.0,0.0,0.0,0.9649122807017539,0.0,0.0,0.0,1.0,0.0,0.0,0.1346704871060172,-0.7391304347826085,0.0,Graduate
4,0.40616246528140665,0.33333333333333326,0.3333333333333333,0.4620973030429342,0.22222222222222213,0.0,0.0,1.0,0.0,1.0,0.0,-0.7399999999999997,1.0,0.0,0.0,1.0,0.2393162393162393,0.0,0.0,0.0,-0.37426900584795336,0.0,0.0,0.0,1.0,0.0,1.0,-0.98567335243553,-0.9565217391304347,0.0,Graduate
5,-0.05718954290417129,0.0,0.0,0.005557869945810766,0.5,0.25,0.0,1.0,0.0,1.0,0.0,-2.206666666666666,1.0,0.0,0.0,1.0,3.9914529914529955,1.0,0.0,0.0,0.9064327485380113,0.0,0.0,0.0,1.0,0.0,0.0,0.1346704871060172,-0.7391304347826085,0.0,Graduate
6,0.17507002846815203,0.33333333333333326,0.0,-0.1929375323051273,1.3333333333333333,0.5,0.0,1.0,1.0,0.0,-0.5,0.0,1.0,0.0,1.0,0.0,-1.1196581196581203,1.0,0.0,0.0,-0.654970760233918,0.0,0.0,0.0,0.0,0.0,0.0,-0.3553008595988538,-0.4782608695652173,0.0,Graduate
7,0.3872549020421404,0.33333333333333326,0.6666666666666666,0.40850354314297627,0.14285714285714307,0.25,0.0,1.0,0.0,1.0,0.5,0.5933333333333337,0.0,1.0,0.0,1.0,-0.717948717948718,0.0,1.0,1.0,0.14035087719298273,0.0,0.0,0.0,1.0,0.0,0.0,-1.2550143266475644,0.608695652173913,0.0,Graduate
8,-1.5686274513099354,-1.6666666666666667,-1.6666666666666667,-5.1354731137974134,-0.3333333333333332,-0.75,1.0,0.0,1.0,0.0,-0.5,-0.9399999999999996,1.0,0.0,0.0,1.0,-0.05982905982906013,0.0,0.0,0.0,-0.7543859649122806,0.0,0.0,0.0,1.0,0.0,3.0,-1.2550143266475644,0.608695652173913,0.0,Dropout
9,0.47181372558931645,0.33333333333333326,0.3333333333333333,0.648186744476865,0.22222222222222213,0.0,0.0,1.0,0.0,1.0,0.0,0.2600000000000004,0.0,1.0,0.0,1.0,-0.21367521367521267,0.0,1.0,0.0,0.19298245614035145,0.0,0.0,0.0,1.0,0.0,2.0,-0.3553008595988538,-0.4782608695652173,0.0,Graduate
10,-0.1715686274870239,0.0,0.0,-0.38349312213422243,0.5,0.25,1.0,0.0,1.0,0.0,0.0,0.32666666666666705,1.0,0.0,1.0,0.0,-0.8376068376068382,0.0,1.0,0.0,-0.17543859649122798,0.0,0.0,0.0,1.0,0.0,0.0,0.9140401146131805,0.0,0.0,Dropout
11,0.24509803877698141,0.33333333333333326,0.3333333333333333,0.005557869945810766,-0.3333333333333332,-0.5,0.0,1.0,0.0,1.0,0.0,0.3933333333333337,1.0,0.0,0.0,1.0,-0.27350427350427403,0.0,1.0,0.0,0.2690058479532159,0.0,0.0,0.0,1.0,0.0,0.0,0.1346704871060172,-0.7391304347826085,0.0,Graduate
12,0.13174019555463726,0.08333333333333326,0.6666666666666666,0.37277436848686946,-0.3333333333333332,0.0,0.0,1.0,0.0,1.0,1.0,0.19333333333333372,0.0,1.0,0.0,1.0,-0.9829059829059839,0.0,1.0,1.0,-0.391812865497076,0.0,0.0,0.0,1.0,0.0,0.0,-0.5787965616045845,1.0,0.0,Graduate
13,-1.5686274513099354,-1.6666666666666667,-1.6666666666666667,-5.1354731137974134,-0.3333333333333332,-0.5,0.0,1.0,0.0,1.0,0.0,-0.006666666666666288,1.0,0.0,0.0,1.0,0.2051282051282046,0.0,1.0,0.0,0.2456140350877185,0.0,0.0,0.0,1.0,0.0,1.0,-0.5787965616045845,1.0,0.0,Dropout
14,-0.01400560245392257,0.33333333333333326,0.3333333333333333,-0.7288751271363065,-0.05555555555555535,-0.25,0.0,1.0,0.0,1.0,0.0,-1.5399999999999996,0.0,1.0,0.0,1.0,0.5982905982905988,0.0,0.0,0.0,-0.8304093567251459,0.0,0.0,0.0,0.0,0.0,0.0,0.9140401146131805,0.0,0.0,Graduate
15,-0.009803921570686996,-0.06666666666666665,-0.3333333333333333,0.3876615256356813,0.3333333333333332,-0.25,0.0,1.0,0.0,1.0,-0.5,1.0600000000000003,0.0,1.0,0.0,1.0,-0.5726495726495735,0.0,1.0,0.0,0.6491228070175432,0.0,0.0,0.0,1.0,0.0,0.0,0.4068767908309455,0.0,0.0,Graduate
16,0.04901960785343531,0.0,0.0,0.36681950812838626,-0.3333333333333332,-0.5,0.0,1.0,0.0,1.0,0.0,-0.4066666666666663,1.0,0.0,0.0,1.0,-0.09401709401709363,0.0,1.0,0.0,-0.30994152046783596,0.0,0.0,0.0,1.0,0.0,0.0,-1.2550143266475644,0.608695652173913,0.0,Dropout
17,-1.2745098041893226,-1.3333333333333335,-1.3333333333333333,-0.13338891204668618,0.7777777777777779,0.5,0.0,1.0,0.0,1.0,0.0,0.2600000000000004,1.0,0.0,0.0,1.0,0.4786324786324798,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.4068767908309455,0.0,0.0,Enrolled
18,0.3881740196893922,0.33333333333333326,0.6666666666666666,0.41110879533138794,-0.09523809523809526,0.0,0.0,1.0,0.0,1.0,0.5,0.12666666666666704,1.0,0.0,0.0,1.0,-0.2136752136752139,0.0,0.0,1.0,0.0760233918128653,0.0,0.0,0.0,1.0,0.0,1.0,-1.2550143266475644,0.608695652173913,0.0,Graduate
20,-0.09803921528670312,0.04761904761904745,0.3333333333333333,-0.2723356940391831,-0.3333333333333332,-0.25,0.0,1.0,0.0,1.0,0.5,0.46000000000000035,1.0,0.0,0.0,1.0,-0.8717948717948729,0.0,1.0,0.0,-0.08187134502924005,0.0,0.0,0.0,1.0,0.0,0.0,-0.3553008595988538,-0.4782608695652173,0.0,Enrolled
21,-1.5686274513099354,-1.6666666666666667,-1.6666666666666667,-5.1354731137974134,-1.9999999999999996,-2.0,0.0,1.0,0.0,1.0,-3.0,-0.7399999999999997,0.0,1.0,0.0,1.0,0.2991452991452994,0.0,1.0,0.0,-0.3333333333333333,0.0,0.0,0.0,1.0,0.0,2.0,0.48710601719197705,-0.3478260869565217,0.0,Graduate
23,0.08578431411115921,0.08333333333333326,0.6666666666666666,0.22390281784076668,0.5,1.0,0.0,1.0,0.0,1.0,1.0,0.5933333333333337,1.0,0.0,0.0,1.0,-0.9658119658119665,0.0,1.0,1.0,-0.02923976608187133,0.0,0.0,0.0,1.0,0.0,3.0,-0.5787965616045845,1.0,0.0,Graduate
24,0.3982843138091632,0.33333333333333326,0.3333333333333333,0.439766569403918,0.22222222222222213,0.0,0.0,1.0,0.0,1.0,0.0,-0.5399999999999996,0.0,1.0,0.0,1.0,-0.4188034188034185,0.0,1.0,0.0,-0.6491228070175432,0.0,0.0,0.0,1.0,0.0,3.0,0.48710601719197705,-0.3478260869565217,0.0,Graduate
25,0.10742296963041102,0.04761904761904745,0.3333333333333333,0.40711407669862437,-0.09523809523809526,0.0,0.0,1.0,0.0,1.0,0.5,-0.47333333333333294,1.0,0.0,0.0,1.0,0.26495726495726596,0.0,1.0,1.0,-0.12280701754385925,0.0,0.0,0.0,1.0,0.0,0.0,0.48710601719197705,-0.3478260869565217,0.0,Graduate
26,-0.14705882356030642,0.0,0.0,-0.3001250521050439,0.22222222222222213,0.0,0.0,1.0,1.0,0.0,0.0,1.1933333333333338,0.0,1.0,1.0,0.0,0.9572649572649584,0.0,1.0,0.0,1.8128654970760225,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5217391304347826,0.0,Enrolled
28,0.29411764761080894,0.33333333333333326,0.0,0.14450465610671082,1.0,0.25,0.0,1.0,0.0,1.0,-0.5,0.32666666666666705,1.0,0.0,0.0,1.0,-0.15384615384615374,0.0,1.0,0.0,0.2923976608187133,0.0,0.0,0.0,1.0,0.0,0.0,-0.98567335243553,-0.9565217391304347,0.0,Enrolled
29,0.1960784314137419,0.33333333333333326,0.0,-0.13338891204668618,0.0,-0.5,0.0,1.0,0.0,1.0,-0.5,0.12666666666666704,1.0,0.0,0.0,1.0,-0.658119658119659,0.0,1.0,0.0,-0.2280701754385967,0.0,0.0,0.0,1.0,0.0,0.0,-0.3553008595988538,-0.4782608695652173,0.0,Graduate
30,0.06162464945272215,0.04761904761904745,0.3333333333333333,0.255662080033347,0.14285714285714307,0.25,0.0,1.0,0.0,1.0,0.5,-0.4066666666666663,1.0,0.0,0.0,1.0,-0.25641025641025667,0.0,0.0,1.0,-0.42105263157894735,0.0,0.0,0.0,1.0,0.0,1.0,-0.3553008595988538,-0.4782608695652173,0.0,Enrolled
33,-0.5686274513939693,-0.4666666666666668,-0.6666666666666666,-0.4112824802000832,1.0,0.25,1.0,0.0,1.0,0.0,-0.5,0.6600000000000004,1.0,0.0,0.0,1.0,0.08547008547008676,0.0,1.0,0.0,0.7485380116959067,0.0,0.0,0.0,1.0,0.0,0.0,0.9140401146131805,0.0,0.0,Enrolled
34,0.29411764761080894,0.33333333333333326,0.3333333333333333,0.14450465610671082,-0.3333333333333332,-0.5,0.0,1.0,0.0,1.0,0.0,0.32666666666666705,1.0,0.0,0.0,1.0,0.14529914529914567,0.0,0.0,0.0,0.4970760233918126,0.0,0.0,0.0,1.0,0.0,0.0,0.42120343839541546,-0.39130434782608686,0.0,Graduate
35,0.25490196083786454,0.33333333333333326,0.0,0.033347228011671545,0.0,-0.5,0.0,1.0,0.0,1.0,-0.5,-0.20666666666666628,1.0,0.0,0.0,1.0,0.5641025641025654,0.0,1.0,0.0,0.3157894736842107,0.0,0.0,0.0,1.0,0.0,0.0,0.1346704871060172,-0.7391304347826085,0.0,Graduate
