feature,model_based_importance,rank
numeric__first_sem_approval_rate,0.1108773144668951,1
numeric__first_sem_progress_index,0.10794589028989679,2
numeric__Curricular units 1st sem (grade),0.05481977471860526,3
numeric__Curricular units 1st sem (approved),0.04112411709605956,4
categorical__Tuition fees up to date_1,0.03852774526738361,5
categorical__Tuition fees up to date_0,0.03564562792351873,6
numeric__first_sem_evaluation_intensity,0.0353721262803004,7
categorical__financial_risk_flag_1,0.02527234436628248,8
categorical__Scholarship holder_1,0.02459949282728947,9
categorical__Scholarship holder_0,0.022482215769007313,10
categorical__financial_risk_flag_0,0.019200966113575208,11
numeric__Curricular units 1st sem (evaluations),0.018644591281237924,12
numeric__GDP,0.015981268347630636,13
numeric__Unemployment rate,0.015166505849361496,14
categorical__Application mode_39,0.013700429961676844,15
categorical__Application mode_1,0.013327736138886855,16
numeric__Inflation rate,0.013197362266875451,17
numeric__Curricular units 1st sem (enrolled),0.011879155327176514,18
categorical__Course_9500,0.011731885324189029,19
categorical__Course_9119,0.011099822775686441,20
numeric__Admission grade,0.01084771802173142,21
categorical__Course_9238,0.009628467855718121,22
numeric__Previous qualification (grade),0.009526498522385669,23
categorical__Mother's occupation_9,0.009135244015923659,24
categorical__Mother's qualification_19,0.008823595313420269,25
categorical__Mother's qualification_1,0.008788930911643069,26
categorical__Father's qualification_19,0.008491128916857797,27
categorical__Mother's qualification_37,0.008419984132844607,28
categorical__Father's qualification_37,0.007875025687204888,29
numeric__academic_preparation_gap,0.007756174669790634,30
numeric__Application order,0.007603094570875476,31
categorical__Course_9147,0.00755032373455536,32
categorical__Application mode_17,0.007393129734484498,33
categorical__Father's occupation_9,0.0072810988840702855,34
categorical__Father's qualification_1,0.00716838320354167,35
categorical__Application mode_43,0.00706471852655348,36
categorical__Mother's occupation_0,0.007011375256744676,37
categorical__Previous qualification_1,0.006858668225643679,38
categorical__Debtor_1,0.0068508492512609105,39
categorical__Mother's occupation_4,0.006825330800996842,40
categorical__Debtor_0,0.006748760446300447,41
