,Admission grade,Previous qualification (grade),Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),first_sem_approval_rate,first_sem_evaluation_intensity,first_sem_no_evaluation_rate,first_sem_progress_index,academic_preparation_gap,dropout_flag
Admission grade,1.0,0.5830363009096474,-0.1054001974470189,-0.00391220250972892,-0.0881452974676751,0.10452885746341754,0.20655355126287533,0.12109379522918866,-0.12108912347929357,0.014811114969494311,0.18531267317166944,0.44976263651621007,-0.10199174139803743
Previous qualification (grade),0.5830363009096474,1.0,-0.1466045318677243,0.03271310523221749,-0.06763306954767417,0.08903885263838791,0.17986810042099702,0.08438853286770917,-0.1036373071384282,0.013515977118561884,0.14869429035252968,-0.35945164178913214,-0.08709503256181472
Age at enrollment,-0.1054001974470189,-0.1466045318677243,1.0,0.0038891605483433113,0.1667860200726557,-0.1724410128902469,-0.21933712070540942,-0.2517925660446202,0.13424559070529163,0.0564501889598734,-0.26641514092194385,0.09950533550670071,0.2852746855604793
Curricular units 1st sem (enrolled),-0.00391220250972892,0.03271310523221749,0.0038891605483433113,1.0,0.41923179990381215,0.7079864560472313,0.36799195525873646,0.3202065285752389,-0.09670404301216386,-0.04835013081583182,0.3448458651052959,-0.05424902732212193,-0.17706932002571746
Curricular units 1st sem (evaluations),-0.0881452974676751,-0.06763306954767417,0.1667860200726557,0.41923179990381215,1.0,0.25520557027099205,0.1135372830998361,0.010490083937378205,0.7938977784670004,0.20511712270715204,0.0016257330938029308,-0.021392983109647438,-0.05494835266171325
Curricular units 1st sem (approved),0.10452885746341754,0.08903885263838791,-0.1724410128902469,0.7079864560472313,0.25520557027099205,1.0,0.6443673139606458,0.8257877433846258,-0.12206244431824963,-0.0781458733468772,0.8092957840925459,-0.009545374454207157,-0.5201460178203845
Curricular units 1st sem (grade),0.20655355126287533,0.17986810042099702,-0.21933712070540942,0.36799195525873646,0.1135372830998361,0.6443673139606458,1.0,0.6675839577510347,-0.01896523674600045,-0.010741639841232406,0.8383994432601991,0.007298867939312463,-0.44711753888218775
first_sem_approval_rate,0.12109379522918866,0.08438853286770917,-0.2517925660446202,0.3202065285752389,0.010490083937378205,0.8257877433846258,0.6675839577510347,1.0,-0.09211568779260335,-0.1047109156343475,0.9433820507580586,0.012301852246977888,-0.567381103147459
first_sem_evaluation_intensity,-0.12108912347929357,-0.1036373071384282,0.13424559070529163,-0.09670404301216386,0.7938977784670004,-0.12206244431824963,-0.01896523674600045,-0.09211568779260335,1.0,0.2180087108196575,-0.12019990994360823,-0.016112814479363316,0.020430161020928202
first_sem_no_evaluation_rate,0.014811114969494311,0.013515977118561884,0.0564501889598734,-0.04835013081583182,0.20511712270715204,-0.0781458733468772,-0.010741639841232406,-0.1047109156343475,0.2180087108196575,1.0,-0.08912184487672274,0.009365726346896641,0.05683865778658329
first_sem_progress_index,0.18531267317166944,0.14869429035252968,-0.26641514092194385,0.3448458651052959,0.0016257330938029308,0.8092957840925459,0.8383994432601991,0.9433820507580586,-0.12019990994360823,-0.08912184487672274,1.0,0.013212688361018817,-0.5564280814178381
academic_preparation_gap,0.44976263651621007,-0.35945164178913214,0.09950533550670071,-0.05424902732212193,-0.021392983109647438,-0.009545374454207157,0.007298867939312463,0.012301852246977888,-0.016112814479363316,0.009365726346896641,0.013212688361018817,1.0,-0.010698433259431428
dropout_flag,-0.10199174139803743,-0.08709503256181472,0.2852746855604793,-0.17706932002571746,-0.05494835266171325,-0.5201460178203845,-0.44711753888218775,-0.567381103147459,0.020430161020928202,0.05683865778658329,-0.5564280814178381,-0.010698433259431428,1.0
