variable,minimum,q1,median,q3,maximum,iqr_lower_fence,iqr_upper_fence,iqr_flag_count,iqr_flag_share,disposition
Curricular units 1st sem (grade),0.0,11.0,12.32,13.399000000000001,18.875,7.401499999999999,16.997500000000002,592,0.16727889234246962,Retain; validated as plausible or structurally meaningful. Use robust scaling and model diagnostics.
Curricular units 1st sem (credited),0.0,0.0,0.0,0.0,20.0,0.0,0.0,467,0.1319581802769144,Retain; validated as plausible or structurally meaningful. Use robust scaling and model diagnostics.
Application order,0.0,1.0,1.0,2.0,9.0,-0.5,3.5,431,0.12178581520203448,Retain; validated as plausible or structurally meaningful. Use robust scaling and model diagnostics.
first_sem_evaluation_intensity,0.0,1.0,1.2,1.6,3.5,0.09999999999999987,2.5,378,0.10680983328623905,Retain; validated as plausible or structurally meaningful. Use robust scaling and model diagnostics.
Age at enrollment,17.0,19.0,20.0,25.0,70.0,10.0,34.0,358,0.10115851935575021,Retain; validated as plausible or structurally meaningful. Use robust scaling and model diagnostics.
Curricular units 1st sem (enrolled),0.0,5.0,6.0,7.0,26.0,2.0,10.0,342,0.09663746821135914,Retain; validated as plausible or structurally meaningful. Use robust scaling and model diagnostics.
academic_preparation_gap,-70.0,-11.699999999999989,-5.200000000000003,0.0,63.5,-29.24999999999997,17.549999999999983,317,0.08957332579824809,Retain; validated as plausible or structurally meaningful. Use robust scaling and model diagnostics.
first_sem_no_evaluation_rate,0.0,0.0,0.0,0.0,1.0,0.0,0.0,245,0.06922859564848827,Retain; validated as plausible or structurally meaningful. Use robust scaling and model diagnostics.
Curricular units 1st sem (without evaluations),0.0,0.0,0.0,0.0,12.0,0.0,0.0,245,0.06922859564848827,Retain; validated as plausible or structurally meaningful. Use robust scaling and model diagnostics.
Curricular units 1st sem (approved),0.0,3.0,5.0,6.0,26.0,-1.5,10.5,141,0.03984176320994631,Retain; validated as plausible or structurally meaningful. Use robust scaling and model diagnostics.
Previous qualification (grade),95.0,125.0,133.1,140.0,190.0,102.5,162.5,135,0.03814636903079966,Retain; validated as plausible or structurally meaningful. Use robust scaling and model diagnostics.
Curricular units 1st sem (evaluations),0.0,6.0,8.0,10.0,45.0,0.0,16.0,131,0.03701610624470189,Retain; validated as plausible or structurally meaningful. Use robust scaling and model diagnostics.
Admission grade,95.0,117.8,126.0,134.9,190.0,92.14999999999998,160.55,68,0.01921446736366205,Retain; validated as plausible or structurally meaningful. Use robust scaling and model diagnostics.
Unemployment rate,7.6,9.4,11.1,13.9,16.2,2.6500000000000004,20.65,0,0.0,Retain; validated as plausible or structurally meaningful. Use robust scaling and model diagnostics.
Inflation rate,-0.8,0.3,1.4,2.6,3.7,-3.1500000000000004,6.050000000000001,0,0.0,Retain; validated as plausible or structurally meaningful. Use robust scaling and model diagnostics.
GDP,-4.06,-1.7,0.32,1.79,3.51,-6.9350000000000005,7.025,0,0.0,Retain; validated as plausible or structurally meaningful. Use robust scaling and model diagnostics.
first_sem_approval_rate,0.0,0.5,0.8333333333333334,1.0,1.0,-0.25,1.75,0,0.0,Retain; validated as plausible or structurally meaningful. Use robust scaling and model diagnostics.
first_sem_progress_index,0.0,0.3,0.5333333333333333,0.6399999999285715,0.94375,-0.20999999989285728,1.1499999998214288,0,0.0,Retain; validated as plausible or structurally meaningful. Use robust scaling and model diagnostics.
