audit_dimension,group,reference_group,n,actual_dropout_n,observed_dropout_rate,alert_n,alert_rate,alert_rate_ci_95_lower,alert_rate_ci_95_upper,dropout_precision,dropout_recall_tpr,dropout_recall_ci_95_lower,dropout_recall_ci_95_upper,false_positive_rate,false_negative_rate,specificity,accuracy,mean_predicted_dropout_probability,brier_score,small_sample_warning
Gender,Female,Female,570,139,0.24385964912280703,205,0.35964912280701755,0.3213121980988421,0.3998652139256607,0.5365853658536586,0.7913669064748201,0.7164356377536621,0.8506260585588966,0.22041763341067286,0.20863309352517986,0.7795823665893271,0.7824561403508772,0.27417649468735134,0.10301554005496184,False
Gender,Male,Female,315,145,0.4603174603174603,175,0.5555555555555556,0.5003388235912161,0.6094335524099082,0.7314285714285714,0.8827586206896552,0.8202600378070131,0.9254992122951089,0.27647058823529413,0.11724137931034483,0.7235294117647059,0.7968253968253968,0.4001016553163651,0.133352319076554,False
Age group,25 or older,Under 25,234,129,0.5512820512820513,155,0.6623931623931624,0.5996128201133972,0.7199275798839118,0.7419354838709677,0.8914728682170543,0.826059371543143,0.9342446296131213,0.38095238095238093,0.10852713178294573,0.6190476190476191,0.7692307692307693,0.4859687106717164,0.12935184962873067,False
Age group,Under 25,Under 25,651,155,0.23809523809523808,225,0.3456221198156682,0.31009122461510646,0.3829643173663438,0.5466666666666666,0.7935483870967742,0.7231035510815004,0.8497942288451686,0.2056451612903226,0.2064516129032258,0.7943548387096774,0.794162826420891,0.25897994638903776,0.1082281190895849,False
International status,Domestic,Domestic,861,275,0.31939605110336816,368,0.4274099883855981,0.3947598631893201,0.4607049988154678,0.6277173913043478,0.84,0.7920310662280957,0.8786005755355436,0.23378839590443687,0.16,0.7662116040955631,0.7897793263646922,0.31853698752162996,0.11241926052787123,False
International status,International,Domestic,24,9,0.375,12,0.5,0.31427131627763083,0.6857286837223692,0.5833333333333334,0.7777777777777778,0.4525833436728054,0.9367762376877727,0.3333333333333333,0.2222222222222222,0.6666666666666666,0.7083333333333334,0.33551154751341095,0.16382729274773555,True
Financial-risk proxy,Financial risk indicated,No immediate financial risk,173,114,0.6589595375722543,148,0.8554913294797688,0.795374086684112,0.9001636148521782,0.7567567567567568,0.9824561403508771,0.9382807541193635,0.9951756823173447,0.6101694915254238,0.017543859649122806,0.3898305084745763,0.7803468208092486,0.6446334999472929,0.10128834107350186,False
Financial-risk proxy,No immediate financial risk,No immediate financial risk,712,170,0.23876404494382023,232,0.3258426966292135,0.2924299840177584,0.3611246571207281,0.5431034482758621,0.7411764705882353,0.6705199883664429,0.8011737834350131,0.19557195571955718,0.25882352941176473,0.8044280442804428,0.7893258426966292,0.23987503919320727,0.11685667884090863,False
Scholarship status,No scholarship,No scholarship,680,265,0.3897058823529412,352,0.5176470588235295,0.48009556457599745,0.5550002821814974,0.6477272727272727,0.8603773584905661,0.8134775013666051,0.8969780233736138,0.2987951807228916,0.13962264150943396,0.7012048192771084,0.763235294117647,0.37245853314960625,0.12638420227529268,False
Scholarship status,Scholarship holder,No scholarship,205,19,0.09268292682926829,28,0.13658536585365855,0.09621731612319204,0.19032329647506427,0.35714285714285715,0.5263157894736842,0.31707482511825114,0.7267049451255145,0.0967741935483871,0.47368421052631576,0.9032258064516129,0.8682926829268293,0.14166254075469756,0.07211502825972546,True
Gender x financial risk,Female | Financial risk indicated,Female | No immediate financial risk,90,53,0.5888888888888889,77,0.8555555555555555,0.7683993769120605,0.9136009299880774,0.6883116883116883,1.0,0.9324156955469234,1.0,0.6486486486486487,0.0,0.35135135135135137,0.7333333333333333,0.6128501423400824,0.10967873232514265,False
Gender x financial risk,Female | No immediate financial risk,Female | No immediate financial risk,480,86,0.17916666666666667,128,0.26666666666666666,0.22907182585840422,0.30796674213574926,0.4453125,0.6627906976744186,0.5578236301352326,0.7538360019283099,0.1802030456852792,0.3372093023255814,0.8197969543147208,0.7916666666666666,0.21067518575246422,0.10176619150430294,False
Gender x financial risk,Male | Financial risk indicated,Female | No immediate financial risk,83,61,0.7349397590361446,71,0.8554216867469879,0.7640800500700162,0.9153178421843873,0.8309859154929577,0.9672131147540983,0.888102992233543,0.9909622991843121,0.5454545454545454,0.03278688524590164,0.45454545454545453,0.8313253012048193,0.6790973816900512,0.09219032646328894,False
Gender x financial risk,Male | No immediate financial risk,Female | No immediate financial risk,232,84,0.3620689655172414,104,0.4482758620689655,0.38564118673004183,0.5125955959240787,0.6634615384615384,0.8214285714285714,0.7260538098918103,0.8886890909660974,0.23648648648648649,0.17857142857142858,0.7635135135135135,0.7844827586206896,0.3002885290706067,0.14807837677871347,False
